address,symbol,name,decimals,total_supply,block_number
0x984d3e9906ef5f3e44576140cd0cf649ba1befa8,MOFI,Mofi Finance,18,1736539253310177477240860,
0xc4b790e1d5f0c3d8aa526f0a8098ed2a1ff0886a,420x,420x,9,1000000000000000000000000,
0xe8b9b396c59a6bc136cf1f05c4d1a68a0f7c2dd7,aDGNZ,aDGNZ,18,24074737060633015235941,
0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63,XVS,Venus,18,30000000000000000000000000,
0x7eb5d86fd78f3852a3e0e064f2842d45a3db6ea2,Cake-LP,Pancake LPs,18,78844291176097757736180,
0x746a3f1a3863cf839bf0702c083cca888aba6ee8,Cake-LP,Pancake LPs,18,33273123460559391,
0xb27adaffb9fea1801459a1a81b17218288c097cc,POOCOIN,PooCoin,8,579451061261713,
0xf65c1c0478efde3c19b49ecbe7acc57bb6b1d713,APE-LP,ApeSwapFinance LPs,18,398083428286931695492054,
0x95bafd7d57e5c1ab99a87797136a9dbc187c3a02,Cake-LP,Pancake LPs,18,2169229960992499082,
0x2170ed0880ac9a755fd29b2688956bd959f933f8,ETH,Ethereum Token,18,1304999999998559533938826,
0x52ce071bd9b1c4b00a0b92d298c512478cad67e8,COMP,Compound Coin,18,50000000000000000000000,
0x250632378e573c6be1ac2f97fcdf00515d0aa91b,BETH,Binance Beacon ETH,18,100000000000000000000000000,
0x62ef589d47fbf278e5ea4e9a8e2b6c68eeed3305,Cake-LP,Pancake LPs,18,1693429709437712482686,
0x37908620def1491dd591b5a2d16022a33cdda415,Cake-LP,Pancake LPs,18,3374388258373094530670,
0x13321acff4a27f3d2bca64b8beac6e5fdaaaf12c,Cake-LP,Pancake LPs,18,199738786953928505785251,
0x4925ebaa523b2c2f66f980c7b8bb68207622bc3f,mooCakeV2WATCH-BNB,Moo CakeV2 WATCH-BNB,18,35203895914008843562725,
0x0e0e877894a101ad8711ae3a0194fa44ca837a79,MOONMOON,MoonMoon,9,1000000000000000000000000,
0x12a2099df691e80476d9c4ef2821e1c362fcae4a,FNOBL,FAIRNOBYL,9,1000000000000000000000000,
0x7ce0fa39cd43a6888101dfdda0f7481622ed254e,BeQuiteBSC,Bequite BSC,9,90000000000000000000,
0x7435e1ebe8f915075cfed3b618256bd79d8cd3d9,PUMPPUG,PumpPug,9,15000000000000000000,
0x81e4d494b85a24a58a6ba45c9b418b32a4e039de,MOONTOKEN,Moon Token,18,1000000000000000000000000000000000,
0x72faa679e1008ad8382959ff48e392042a8b06f7,bALBT,AllianceBlock Token,18,13242916181540366234320860,
0x3c00f8fcc8791fa78daa4a480095ec7d475781e2,SAFESTAR,SafeStar,9,1000000000000000000000000,
0x168b273278f3a8d302de5e879aa30690b7e6c28f,Cake-LP,Pancake LPs,18,86910175855284111445009,
